,tmdb_id,name,original_name,keywords,airing_date,directors,cast,genres,number_of_seasons,number_of_episodes,episode_run_time,synopsis,popularity,average_rating,rating_count,networks,production_companies,cast_popularity
512,121558,The Sweet Blood,달달한 그놈,,2021-03-24,,Song Chae-yoon;Kim Ji Woong;Kim Eo-jin,Drama,1.0,16.0,15.0,"A fantasy romance story between Yeon seo and Song Meo Ru. She is a high school girl who has to graduate safely. Yeon seo is a half-vampire who has lived 118 years. Born between a human mother and a vampire father, she has a natural beauty, and vampire abilities but desire to live an ordinary human life.",5.432,7.5,4.0,NAVER TV,Naver TVCast,8.743
513,104247,To All The Guys Who Loved Me,그놈이 그놈이다,friendship;love triangle;fate;heartbreak;childhood friends;ceo;single woman;cohabitation;comic book writer,2020-07-06,,Hwang Jung-eum;Yoon Hyun-min;Seo Ji-hoon;Choi Myung-gil;Jo Woo-Ri;Seo Hyun-chul;Noh Susanna,Comedy;Drama,1.0,16.0,70.0,"Seo Hyun-Joo works as the leader of a webcomic planning team. She declares that she plans to remain single, but she receives confessions from two men: Hwang Ji-Woo and Park Do-Gyeom. Hwang Ji-Woo is the CEO of a pharmaceutical company. He has a cold personality and excellent business ability. Park Do-Gyeom is a popular webcomic writer. He is a sociable person. He and Seo Hyun-Joo grew up like siblings, but he has held a crush on Seo Hyun-Joo for a long time.",5.431,6.6,5.0,KBS2,iWill Media,29.448
514,64811,Jang Yeong Sil,장영실,historical figure;royalty;historical fiction;scientist;historical drama;joseon dynasty;king sejong,2016-01-02,,Song Il-gook;Park Sun-young;Kim Sang-kyung;Kim Yeong-cheol;Kim Ki-hyeon;Son Byung-ho;Jung Han-yong;Jang Gwang;Seo Hyun-chul;Kim Byeong-gi,Drama,1.0,24.0,60.0,"Drama series follows the life Jang Yeong-Sil: a scientist, technician and inventor during the Joseon period. Jang Yeong-Sil was born in the lower class nobi. King Sejong notices his abilities and brings him to the palace. King Sejong grants him a chance to display his abilities. He invents tools like astronomical instruments, iron printing press and a water clock.",5.426,6.2,5.0,KBS1,,42.654
515,63765,Dream Knight,드림나이트,,2015-01-27,,Song Ha-yoon;Im Jae-beom;Jinyoung;Jackson Wang;Kunpimook Bhuwakul;Mark Tuan;Choi Young-jae;Kim Yu-gyeom;Lee Min-young;Park Jin-young,Sci-Fi & Fantasy;Drama,1.0,12.0,15.0,"Though she's constantly bullied, orphaned high schooler Joo In Hyeong (Song Ha Yoon) refuses to let life get her down and fills her little home with positive vibes from her favorite boy band. But fandom hits the next level when she discovers the ability to call upon four mysterious hotties (played by GOT7), who turn her world topsy-turvy with magical and hilarious antics, including JYP artist cameos. No matter how tough life gets, she'll get by with a little help from her friends, especially with dreamy knights!",5.413,5.75,6.0,NAVER TV,,32.644999999999996
516,75066,Black Knight,흑기사,businessman;reincarnation;fashion designer;romance;historical fiction;destiny;travel agent;healing;immortal,2017-12-06,,Kim Rae-won;Shin Se-kyung;Seo Ji-hye;Chang Mi-hee;Shin So-yul;Kim Hyun-joon;Han Ji-Sun;Park Sung-hoon;Shin Dong Hoon,Drama,1.0,20.0,60.0,"A successful executive determined to do whatever it takes to protect the woman he loves, meets a travel agent, who may be linked to his past.",7.574,5.9,10.0,KBS2,,43.346999999999994
517,37850,Jang Bo Ri Is Here,왔다! 장보리,adoption;family secrets;rich kid;childhood friends;rich man poor woman;lost child;jeju island;soap opera,2014-04-05,,Oh Yeon-seo;Kim Ji-hun;Lee Yu-ri;Oh Chang-seok;Kim Yong-rim;Kim Hye-ok;Yang Mi-kyung;Han Jin-hee;Geum Bo-ra;Ahn Nae-sang;Woo Hee-jin;Han Seung-yeon;Sung Hyuk,Family;Drama,1.0,52.0,70.0,"A story about the life of a mother and her two daughters; a real daughter and an adopted daughter whose fates are twisted and lives change due to the real daughter and the adopted daughter have been swapped, cause intense conflicts within the family.",5.408,8.0,1.0,MBC,,56.124999999999986
518,61146,Secret Love Affair,밀회,love;societal ignorance,2014-03-17,,Kim Hee-ae;Yoo Ah-in;Park Hyuk-kwon;Kim Hye-eun;Jang So-yeon;Kim Kwon,Drama,1.0,16.0,65.0,"Despite being married and having a fulfilling career as a sophisticated arts foundation director, something is missing in Oh Hye Won's life. When she meets twenty-something Lee Seon Jae, Hye Won's appetite for passion is awakened, and she soon falls for the impoverished piano prodigy. Though they risk everything, Hye Won and Seon Jae can't help but embark on an affair that threatens to destroy both their lives. Based on the 2005 Japanese film Tokyo Tower, this romance aches with the desperate struggle between love and reality.",7.115,8.7,10.0,JTBC,SLL;DramaHouse,43.304
519,61830,The King's Face,왕의 얼굴,joseon dynasty,2014-11-19,,Seo In-guk;Jo Yoon-hee;Lee Sung-jae;Shin Sung-rok;Ahn Suk-hwan;Im Ji-eun;Kim Gyu-ri;Go Won-hee;Kim Hee-jung;Song Young-gyu,Drama;History,1.0,24.0,65.0,"Since Kwanghae was born from a concubine and only appointed as Crown Prince in a desperate measure, many dissatisfied officials from Northerner faction often plotted for his assassination and dethronement for 16 years. He also often quarreled with his father, King Seonjo, especially regarding Kim Ga Hee. Both son and father will fight against each other in favor of her. However, he eventually managed to overcome the obstacles by the help of Physiognomist, Kim Do Chi and become the next king. Meanwhile, Gwiin Kim is King Seonjo’s royal concubine.",5.805,8.0,8.0,KBS2,,46.539
520,78111,The Best Moment To Quit Your Job,회사를 관두는 최고의 순간,,2017-12-10,,Go Won-hee;Lee Chung-ah;Jei;Jeong Yeon-joo;Kim Ji-eun;Yoon Jong-hoon;Go Kyung-pyo,Drama;Comedy,1.0,8.0,45.0,"Four young women tackle life, love, and lies in their first jobs out of college. Good thing they have each other – and late-night bars – to get through it all.",3.238,8.0,1.0,Lifetime,,54.239999999999995
521,32828,Cinderella's Stepsister,신데렐라 언니,,2010-03-31,,Moon Geun-young;Seo Woo;Chun Jung-myung;Ok Taec-yeon;Lee Mi-sook;Kim Kap-soo;Choi Il-hwa;Yeon Woo-jin;Ko Se-won,Drama,1.0,20.0,65.0,"A modern day adaptation of Cinderella with a twist as our Cinderella, Goo Hyo Sun, is loved by everyone whereas her stepsister, Eun Jo, has a dark past and struggles with the fact that her mother starts to care more for Hyo Sun than her.",4.492,6.7,6.0,KBS2,AStory,39.129999999999995
522,128309,Red Shoes,빨강 구두,,2021-07-05,,Choi Myung-gil;So E Hyun;Park Yoon-jae;Jung Yoo-Min;Sunwoo Jae-duk;Kim Dong-ha;Han In-soo;Yang Geun-seok;Kim Yu-seok;Choi Yeong-Wan,Family;Drama,1.0,100.0,30.0,"The series revolves around Kim Jem Ma (So Yi Hyun), a daughter who has strong desire to take revenge from her heartless mother, who left her father and sick brother in search of love and desire for her success.

Min Hee Kyung (Choi Myung Gil) portrays a cold-hearted mother who abandoned her family after reuniting with her first love. Kim Jem Ma has aim to find out the secrets related to her father’s death and avenge her mother. Yoon Gi Suk (Park Yoon Jae) does not believe in love due to betrayal by his wife, but falls in love with Kim Jem Ma. Yoon Hyun Suk (Shin Jung Yoon) is Yoon Gi Suk’s younger brother, with free soul and defiant charm.",5.385,6.0,2.0,KBS2,,21.414
523,62265,Heard It Through the Grapevine,풍문으로 들었소,dark comedy,2015-02-23,,Yu Jun-sang;Yoo Ho-jeong;Ko A-sung;Lee Joon;Jang Hyun-sung;Kim Ho-jung;Kil Hae-yeon;Seo Jeong-yeon;Kim Hak-sun;Kim Jung-young;Jang So-yeon;Heo Jung-do;Kim Kwon;Gong Seung-yeon;Jung Eu-gene;Jung Ga-ram;Park So-young;Baek Ji Yun;Park Shi Woo,Comedy;Drama,1.0,30.0,60.0,"Han In Sang and Seo Bom are young and in love, despite major differences in wealth and status. But all of that hangs in the balance when Han In Sang accidentally knocks up Seo Bom, setting off a comedic domino effect that reverberates throughout the snooty Han family and the modest Seo family. Between pride and humiliation, as well as love and duty, will this young couple be able to survive the storm and do what's right for their baby?",6.374,8.0,2.0,SBS,Pan Entertainment,91.83999999999997
524,59150,Waiting for Love,연애를 기대해,romance;relationship;college student,2013-09-11,,Daniel Choi;BoA;Yim Si-wan;Kim Ji-won;Oh Jung-se;In Gyo-jin,Drama;Comedy,1.0,2.0,67.0,"A drama about love and relationships, centers on a college student Joo Yeon Ae (BoA) who has both good looks and personality, but she′s actually a novice in relationships, and always fails at getting her man. Meanwhile, Cha Ki Dae (Choi Daniel) is a skilled dating coach who expert at reading women′s minds. He comes to coach Yeon Ae over SNS, but despite the experience he boasts about, however, he also always fails at getting his own girl. The drama also depicts what happens when four youths with completely different views toward love start dating each other. ",7.536,7.5,2.0,KBS2,IOK Media,38.673
525,103752,Where Your Eyes Linger,너의 시선이 머무는 곳에,bodyguard;miniseries;lgbt;childhood friends;housemates;korean;secret crush;disapproving parent;boys' love (bl),2020-05-22,Hwang Da-seul,Han Gi-chan;Jang Eui-soo;Jung Seo In;Choi Yeon Cheong;Chun Jae-young;Cheon Seung-Ho,Drama,1.0,8.0,10.0,"High school students Han Tae-joo and Kang-gook have always been together for 15 years. Although they are friends, Gook is actually a bodyguard for Tae-joo, the heir of a chaebol family. But before they know it, they feel different kinds of feelings for each other. What does Gook mean to Tae-joo, and what does Tae-joo mean to Gook?",5.382,6.946,28.0,Netflix;Viki;LINE TV;Tencent Video,Rakuten Viki,10.125
526,50961,Don't Look Back: The Legend of Orpheus,상어,,2013-05-27,,Son Ye-jin;Kim Nam-gil;Yeon Jun-seok;Kyung Soo-jin;Lee Soo-hyuk;Nam Bo-ra;Kim Kyu-chul;Ha Seok-jin;Park Won-sang;Lee Ha-nee;Jung Ae-yeun;Jeong In-gi;Ahn Seo-hyun;Noh Young-hak,Drama,1.0,20.0,65.0,"After his father’s demise at the hand of Gaya Hotel Group, Han Yi Soo (Kim Nam Gil) has lived for one thing only: Vengeance. Ready to hatch a plan to bring down his nemesis once and for all, Yi Soo goes to extremes in not only changing his identity, but also his face. But there's a huge obstacle in Yi Soo's way: his inconvenient love for Jo Hae Woo (Son Ye Jin), the heiress to Gaya Hotel Group. Along with being enmeshed within an ill-fated love, Yi Soo's cover gets blown, which has him running for his life like his father once did. You either sink or you swim, but what if the water is full of sharks?",7.268,8.1,7.0,KBS2,ANNEX Telecom,77.094
527,14234,Emperor of the Sea,해신,based on novel or book;sword fight;period drama;historical;historical drama;silla;silla dynasty,2004-11-24,,Song Il-gook;Kim Kap-soo;Park Young-kyu;Chae Jung-an;Choi Soo-jong;Soo Ae;Bae Soo-bin;Kim Ah-joong;Seo Do-young;Baek Sung-hyun;Lee Jae-yong;Park In-hwan;Lee Won-jong;Chae Shi-ra;Kil Yong-woo,Drama;Action & Adventure;War & Politics,1.0,51.0,70.0,"Emperor of the Sea is a South Korean television drama series directed by Kang Il-soo and Kang Byung-taek and starring Choi Soo-jong, Chae Shi-ra, Song Il-gook and Soo Ae. It aired on KBS2 from November 24, 2004 to May 25, 2005 on Wednesdays and Thursdays at 21:50 for 51 episodes. The historical drama is based on Choi In-ho's novel of the same title, which depicts the life of Jang Bogo, who rises from a lowly slave to a powerful maritime figure who dominated the East Asia seas and international trade during the Unified Silla Dynasty.

The drama was received extremely well, holding the number one spot in the ratings for majority of the weeks it aired. It was also exported to eight countries earning approximately US$1.8 million in profits.

The filming set in Wando County, South Jeolla Province also became a tourist attraction.",5.353,7.2,5.0,KBS2,Kim Jong-hak Production;KBS Media,62.68099999999999
528,206618,Boar Hunt,멧돼지 사냥,,2022-08-01,,Park Ho-san;Kim Soo-jin;Lee Hyo-je;Ye Soo-jung;Lee Min-jae;Lee Kyu-hoe;Kwak Ja-hyung;Yoo Soon-woong;Cha Si-won;Hwang Jae-yeol;Lee Ji-won,Mystery;Drama,1.0,4.0,70.0,This drama tells a story that happened in an ordinary village in which a missing case occurs on the day of a wild boar hunting and the secrets of the villagers surrounding the case are being unfolded one by one.,4.337,5.5,2.0,MBC,ASCENDIO,33.51
529,46636,When a Man Falls in Love,남자가 사랑할 때,businessman;loan shark;former gangster,2013-04-03,,Song Seung-heon;Shin Se-kyung;Chae Jung-an;Yeon Woo-jin;Im Jae-beom;Park Min-ji;Kim Sung-oh;Jinyoung;Yoon Chan-young;Yeon Min-ji;Jung Young-sook,Drama,1.0,20.0,65.0,"Han Tae-Sang is a former gangster, but now a successful business man. He has a cold-blooded decisiveness and incredible drive. This helped him to attain his current status, as he started with nothing. He then meets a younger woman named Seo Mi-Do. Her personality reminds him of himself when he was that age. Han Tae-Sang begins to feel love for the first time in his life.",6.144,8.2,3.0,MBC,iWill Media,70.96899999999998
530,73665,Girls' Generation 1979,란제리 소녀시대,high school;adolescence;based on novel or book;1970s;romance;coming of age;student,2017-09-11,,Chae Seo-jin;Lee Jong-hyun;Seo Young-joo;Yeo Hoi-hyeon;Min Do-hee;Bona;Cho Byeong-kyu;Lee Bom,Drama,1.0,8.0,60.0,"Story is set in Daegu, South Korea during the 1970's. Lee Jung-Hee is in the 2nd grade of high school. She has a bright personality and is the second daughter of a family who runs a toy factory. She and her friends go through adolescence.",5.327,7.3,3.0,KBS2,Signal Entertainment Group;SM Life Design Group,26.109999999999996
